Zip,City,State,Latitude,Longitude,relevantFacilities
65620,Bruner,MO,37.020827000000004,-92.94999,"[233575, 232521, 232643, 232621, 233099, 233453, 232619, 232723, 232535, 233135, 232516, 232656, 232565, 232610, 232540, 232562, 232542, 232523, 232526, 232603, 232720, 233119, 232581, 234043, 233471, 233699]"
66620,Topeka,KS,39.042939000000004,-95.769657,"[250850, 234280, 233418, 233695, 233552, 233602, 233631, 233657, 233621, 233700]"
44270,Rittman,OH,40.971727,-81.77938,[233553]
44851,New London,OH,41.098478,-82.40483,[]
51574,Tennant,IA,41.595686,-95.44193,[]
99774,Stevens Village,AK,66.005296,-149.10303000000002,[]
17554,Mountville,PA,40.040696999999994,-76.42806,"[247762, 251763]"
17579,Strasburg,PA,39.9656,-76.17781,[232474]
17608,Lancaster,PA,40.0185,-76.29758199999999,"[251763, 252968]"
19026,Drexel Hill,PA,39.949962,-75.30184,[]
12465,Pine Hill,NY,42.136293,-74.473639,[251575]
62259,Menard,IL,38.013132,-89.899569,"[232604, 233613, 232325, 233504, 232691, 233483, 233611]"
13163,Wampsville,NY,43.078461,-75.701639,[]
5751,Killington,VT,43.659839,-72.79419,[]
73547,Granite,OK,34.976172999999996,-99.3952,[]
74050,Oakhurst,OK,36.074141,-96.0619,"[233636, 233647, 233457, 233667, 233506, 233666, 233572, 233667, 233645, 233508, 233424]"
74121,Tulsa,OK,36.139826,-96.029725,"[233636, 233647, 233457, 233667, 233506, 233666, 233572, 233667, 233645, 233508, 233424]"
51536,Hancock,IA,41.388872,-95.36782,[]
53142,Kenosha,WI,42.559823,-87.87878,[258887]
62479,Wheeler,IL,39.038732,-88.31569,"[233504, 233613, 233496]"
62625,Cantrall,IL,39.909732,-89.68831,[233496]
68022,Elkhorn,NE,41.274881,-96.24565,[]
70359,Gray,LA,29.696635999999998,-90.77238,[]
61278,Rapids City,IL,41.585883,-90.343228,"[233651, 233498, 233427, 233459, 233624]"
81631,Eagle,CO,39.622314,-106.7751,"[233979, 234551, 231880, 232017, 233927, 250026, 234596, 234211, 232159, 232158, 233808, 232154, 231862]"
85320,Aguila,AZ,33.945183,-113.19837,"[232209, 234762]"
78607,Bluffton,TX,30.833543,-98.47938,"[232626, 232570, 234643, 234181, 232728]"
78614,Cost,TX,29.406434,-97.5869,[234181]
98287,Silvana,WA,48.037258,-121.682271,"[233727, 121440, 234126, 255201, 232064, 269838, 232094]"
87528,Dulce,NM,36.818905,-106.9757,"[231849, 234710, 251358, 232338, 232252, 274315, 231851, 234475, 233598, 233394, 251844, 250009]"
95361,Oakdale,CA,37.776528000000006,-120.84756000000002,"[232254, 234072, 234135, 234172, 233683, 233414, 234073, 232186, 233772, 232349]"
92615,Huntington Beach,CA,33.640302,-117.769442,"[234555, 233735, 232250, 231976, 234719]"
76539,Kempner,TX,31.071352,-97.97615,"[232626, 232641, 232570, 233125, 234199, 234643, 232745, 232637, 232546, 232557, 232728, 232748, 232547]"
29856,Windsor,SC,33.475916,-81.51935,"[251874, 232525, 232596, 232645, 232668]"
34604,Spring Hill,FL,28.478994,-82.453508,"[233920, 234513, 234031, 234032, 234033]"
36270,Newell,AL,33.423088,-85.47202,"[232606, 232683, 232639, 232513]"
39163,Sharon,MS,32.642448,-90.090683,"[232255, 253459]"
39648,Mccomb,MS,31.225597999999998,-90.43327,[]
45383,West Milton,OH,39.958117,-84.33335,[]
45838,Elgin,OH,40.740456,-84.47601999999999,[]
92403,San Bernardino,CA,34.839964,-115.967051,"[231976, 232473, 232250, 272300]"
98104,Seattle,WA,47.60252,-122.32855,"[234086, 269838, 233384, 255201]"
99203,Spokane,WA,47.629090999999995,-117.40636,"[234068, 233270, 233267, 273785, 233600, 233949, 232199, 234505, 234062, 233950, 272098, 234430, 233908, 234067]"
55801,Duluth,MN,47.005565999999995,-92.00193399999999,"[233767, 232188, 232000, 232283]"
58036,Gardner,ND,47.15096,-96.96481999999999,[]
41310,Bays,KY,37.640938,-83.24466,"[251947, 233493, 232259, 232370, 232625, 232566, 233782]"
41772,Vest,KY,37.393894,-83.02313000000001,"[251947, 233493, 232370, 232625, 232566, 233782]"
43317,Chesterville,OH,40.479649,-82.68356,[]
43432,Graytown,OH,41.553383000000004,-83.25596999999999,[]
43967,Warnock,OH,40.022806,-80.94093000000001,[232389]
45358,Pitsburg,OH,39.986011,-84.48651,[]
33061,Pompano Beach,FL,26.253909000000004,-80.13421600000001,"[233638, 233638, 233570]"
33731,Saint Petersburg,FL,27.891809000000002,-82.724763,[]
50607,Aurora,IA,42.616399,-91.73262,"[233671, 233697, 233642]"
52149,Highlandville,IA,43.463765,-91.689862,"[233697, 233503]"
53185,Waterford,WI,42.798555,-88.19409,[]
48092,Warren,MI,42.511293,-83.0597,[]
49265,Onsted,MI,42.020199,-84.16796,[]
39638,Gloster,MS,31.206278,-90.9959,[]
81008,Pueblo,CO,38.370203000000004,-104.61964,"[234686, 234105, 232340]"
62639,Frederick,IL,40.04195,-90.46831,[]
62816,Bonnie,IL,38.192726,-88.93138,"[233504, 233613, 233611, 233483]"
72527,Desha,AR,35.733939,-91.68913,"[232619, 232573, 232659, 232549, 233098, 232605, 232565, 232721, 250010, 232523, 232526, 232567]"
72926,Boles,AR,34.734204,-94.05784,"[233434, 232558, 232662, 232543, 234767, 232736, 251355, 233531, 232672, 251361, 232517, 233653, 233834, 232522, 232611, 233469, 232710]"
67576,Saint John,KS,38.014216,-98.79486999999999,[233659]
69365,Whiteclay,NE,42.963117,-102.51068000000001,[10001419]
74525,Atoka,OK,34.347553000000005,-96.11276,"[233540, 234047, 233529, 233595, 233590, 233703, 233534, 233617, 233424, 233444]"
17724,Canton,PA,41.649813,-76.82304,"[234476, 233523]"
17978,Spring Glen,PA,40.632279,-76.64059,[251763]
18840,Sayre,PA,41.983801,-76.52578000000001,"[234476, 233523]"
18943,Penns Park,PA,40.268981,-75.009401,"[234715, 251575]"
6703,Waterbury,CT,41.365709,-72.92750699999999,[233309]
13904,Binghamton,NY,42.110927000000004,-75.85223,[251575]
1331,Athol,MA,42.579931,-72.20836,[]
39406,Hattiesburg,MS,31.172141999999997,-89.294772,"[250796, 232701]"
27507,Bullock,NC,36.525791,-78.57014000000001,[233563]
40233,Louisville,KY,38.188962,-85.676819,"[233556, 233670, 233488, 232056, 232467, 233411, 232114, 233633, 233408]"
